city_name,country_code,first_online_date,shop_id,activity_days,asp,b_p1p2,commission_per_order,days_in_data,eff_online_days,is_healthy_store,ted_per_order,b_cancel_rate,online_rate,photo_rate,recurrency_rate
Merida,MX,2023-11-24,5764607561610038582,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.0
Culiacan,MX,2024-02-08,5764607695047624789,null,192.997826086956500000,0.0046358895112999805,47.739130434782600000,14,11,0,9.521739130434800000,0.0,0.39906410256410263,0.4626865671641791,0.07142857142857142
Leon,MX,2024-03-21,5764607618526744364,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.0
Guadalajara,MX,2024-04-19,5764607671555329960,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.0
San Luis Potosi,MX,2024-04-17,5764607634813226162,null,205.226666666666700000,0.0037897928246589186,56.952000000000000000,14,17,17,24.613333333333300000,0.0,0.9597481021394065,0.7923076923076923,0.0
Guadalajara,MX,2023-11-06,5764607750450187611,2,0.000000000000000000,0.0,0.000000000000000000,14,2,2,0.000000000000000000,0.0,0.9983547008547008,1.0,0.0
Lima,PE,2023-11-24,5764607710683991472,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.7391304347826086,0.0
Tepic,MX,2024-05-10,5764607750601182106,null,188.310666666666700000,0.00341796875,44.413333333333300000,14,17,16,52.333333333333300000,0.21052631578947367,0.8138720073664825,0.8614864864864865,0.4375
Monterrey,MX,2024-02-29,5764607584783568842,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.006938084335050563,1.0,0.0
Monterrey,MX,2024-02-22,5764607685388143185,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,1.0,0.0
Mexico City,MX,2023-12-22,5764607764140393277,null,0.000000000000000000,0.0,0.000000000000000000,14,9,8,0.000000000000000000,0.0,0.564891975308642,0.631578947368421,0.0
Puerto Vallarta,MX,2024-04-04,5764607534556776970,null,339.406147540983600000,0.01583215343029991,98.280655737704900000,14,35,35,52.793852459016400000,0.0,0.8913789682539681,0.64,0.16666666666666666
Aguascalientes,MX,2024-02-01,5764607732930579908,null,182.924107142857100000,0.006640106241699867,52.785714285714300000,14,34,34,17.526785714285700000,0.0,0.9568884643956277,0.9473684210526315,0.43137254901960786
Mexico City,MX,2024-02-08,5764607772390592418,null,214.700000000000000000,0.005681818181818182,68.380000000000000000,14,5,4,75.200000000000000000,0.0,0.33389219576719575,0.8653846153846154,0.0
Lima,PE,2023-11-23,5764607791671805759,null,11.900000000000000000,0.001692047377326565,7.200000000000000000,14,3,1,15.000000000000000000,0.0,0.18820810564663026,0.8125,0.0
Toluca,MX,2024-02-24,5764607611518062068,null,43.000000000000000000,0.0011494252873563218,17.820000000000000000,14,12,10,54.000000000000000000,0.0,0.7828968083583799,0.9393939393939394,0.0
San Luis Potosi,MX,2023-11-23,5764607727272462809,null,201.600000000000000000,0.006053268765133172,58.500000000000000000,14,5,0,15.200000000000000000,0.25,0.16544183445190158,1.0,0.16666666666666666
Cancun,MX,2024-02-09,5764607561169636650,null,245.297607142857100000,0.017721586419369446,76.609285714285700000,14,156,156,87.364051020408200000,0.0035496957403651115,0.82145757020757,0.9396751740139211,0.29220023282887075
Culiacan,MX,2024-04-22,5764607711980031962,null,144.571818181818200000,0.023103251568739304,41.252618181818200000,14,39,37,45.052727272727300000,0.1148036253776435,0.6820308641975308,0.9678362573099415,0.1568627450980392
Lima,PE,2024-02-12,5764607746759200673,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.5714285714285714,0.0
Villahermosa,MX,2024-03-04,5764607549945679814,null,121.436756756756800000,0.005017215937038859,35.142378378378400000,14,44,39,69.155027027027000000,0.0,0.9411218985976266,1.0,0.31746031746031744
Aguascalientes,MX,2024-02-10,5764607720892927816,null,0.000000000000000000,0.0,0.000000000000000000,14,0,0,0.000000000000000000,0.0,0.0,0.9333333333333333,0.0
